"habitat";"carex";"slope";"elevation";"FRic";"FDis";"FDiv";"FEve";"rich";"canopy_height";"leaf_dmc";"leaf_mass";"leaf_size";"seed_mass";"seed_number_per_shoot";"SLA";"L";"T";"M";"N";"R";"shan";"prop.erect"
"1";"grassland";1;15;1834;0.172047268315793;0.130214342896621;0.682741663804315;0.907419899049031;22;0.135388690446429;313.292643682759;17.3702518025;341.230259302187;2.93733721046;2984.5090448017;16.3848179545455;4.4047619047619;1.91269841269841;3.28571428571429;2.35714285714286;2.64285714285714;3.0106015814167;0.135593220338983
"2";"grassland";1;15;1833;0.184783147059569;0.135041299935878;0.640510818221816;0.875123166330282;20;0.133028571408163;304.085416670833;19.1433268626923;384.812222618846;4.39974774368293;2330.40800423385;16.4631042105263;4.30188679245283;1.91509433962264;3.24528301886792;2.39622641509434;2.64150943396226;2.88268828099301;0.137254901960784
"3";"grassland";1;22;1832;0.184302421431597;0.157079165625691;0.685158521319178;0.856892500922238;20;0.12568;293.425714285714;18.1118500710417;390.311143529167;3.98960624062222;5612.25147996417;16.40531225;4.35833333333333;1.98333333333333;3.25833333333333;2.35833333333333;2.51666666666667;2.91696306356416;0.25
"4";"grassland";1;8;1819;0.0849794412723186;0.169295232385471;0.686921660993347;0.845198937247312;18;0.124431972761905;309.287142861905;16.1229024732381;366.25757271;7.17837287097297;6331.70821934;14.3759175019429;4.30769230769231;2.01923076923077;3.06730769230769;2.24038461538462;2.39423076923077;2.78776668373013;0.297872340425532
"5";"grassland";1;25;1817;0.23089040683124;0.143000828371527;0.648982641973671;0.918510878847736;21;0.146364519078431;313.623908048276;83.6416481414138;1657.54300868965;5.27151981774468;4022.67611932167;15.9516057177073;4.31967213114754;1.94262295081967;3.22950819672131;2.39344262295082;2.57377049180328;2.97808292064971;0.196428571428571
"6";"grassland";1;15;1819;0.055768266367585;0.155330383601531;0.646928312824536;0.887732422751571;15;0.118716450151515;353.175111113333;5.53534046353333;67.39000122;7.84386018342857;7361.28364906706;13.5494649215484;4.45652173913043;1.93478260869565;3.09782608695652;2.14130434782609;2.39130434782609;2.63181848619416;0.342105263157895
"7";"grassland";1;12;1814;0.00379183346432209;0.141324908489566;0.670977693824722;0.8280826347146;17;0.148914614068966;334.8254386;10.155675489;138.644103489474;8.59468101614286;4531.01901283048;13.9857966007647;4.46153846153846;1.98076923076923;3.20192307692308;2.19230769230769;2.33653846153846;2.65799703497195;0.371428571428571
"8";"grassland";1;30;1808;0.101099447523136;0.152745407190459;0.668861279513094;0.848820050316397;19;0.13513285708;331.713763441935;14.1288662842903;281.682480196774;9.00613511927907;61826.7422435529;14.7204625015111;4.33606557377049;2.00819672131148;3.13934426229508;2.22131147540984;2.4344262295082;2.84869368247375;0.345454545454545
"9";"grassland";1;30;1817;0.29587422829945;0.147506489444255;0.638050172023207;0.841494565261641;20;0.154362278196078;319.666451612903;17.1171641388064;368.079751702258;8.65618643853333;5571.48568498839;16.0038002992381;4.22881355932203;2.02542372881356;3.13559322033898;2.27118644067797;2.43220338983051;2.8607982623331;0.259259259259259
"10";"grassland";1;15;1797;0.0221195197084893;0.144114485201498;0.655490656586121;0.862083483675866;16;0.156716296244444;312.803888879167;15.291833333125;355.917441501667;7.61770078720513;4114.58216603667;17.1002428571429;4.25510204081633;1.92857142857143;3.19387755102041;2.39795918367347;2.69387755102041;2.65310077109378;0.191489361702128
"11";"grassland";1;15;1830;0.00516693123377983;0.167165920417273;0.681723611400063;0.85359149181464;17;0.161003968222222;338.928571433333;21.2920189932381;336.201620329048;8.30206038634375;4816.23609257809;14.3837215929697;4.44230769230769;2.03846153846154;3.24038461538462;2.11538461538462;2.23076923076923;2.75268364641302;0.317073170731707
"12";"grassland";1;20;1846;0.180258871723146;0.154143751017406;0.676122477302254;0.868904198590722;23;0.175763824822581;308.3420833325;66.43516096615;1640.460093554;7.01936614338182;2918.13920423974;16.8397760425614;4.22222222222222;2.05555555555556;3.29861111111111;2.32638888888889;2.55555555555556;3.0507383961993;0.184615384615385
"13";"grassland";1;35;1849;0.241764369472434;0.148960493504874;0.63889318602959;0.878286787598515;23;1.12410851642308;304.230333333333;57.9230873466;1586.550342564;8.16605410197727;5801.43584305655;15.9168911947273;4.37301587301587;1.96825396825397;3.22222222222222;2.18253968253968;2.33333333333333;3.05461092621415;0.203703703703704
"14";"grassland";1;10;1845;0.309751363192681;0.149073954803267;0.634634031719848;0.838655091996184;22;0.150445781052632;317.011801805405;46.2115707211622;1314.62473405108;8.27598885283674;2946.80813594444;15.9341165830204;4.29230769230769;2.03076923076923;3.2;2.32307692307692;2.54615384615385;2.9898797147622;0.245901639344262
"15";"grassland";1;10;1843;0.149148515308082;0.146571320575468;0.625473250645792;0.804412292490075;19;0.155957039282609;328.198397434615;15.4256527175385;325.670624698462;9.86931774197297;37959.9879617862;15.2444821959535;4.38461538461539;1.92307692307692;3.13461538461538;2.22115384615385;2.48076923076923;2.83266216724686;0.270833333333333
"16";"grassland";1;35;1847;0.179366379132769;0.154382037928931;0.668621812543411;0.885843777596569;21;0.182833791153846;316.277714285714;52.2054487187429;1444.58273787114;8.1145984617234;3268.80945447382;16.7059403354884;4.29032258064516;2.10483870967742;3.29032258064516;2.36290322580645;2.5241935483871;2.97085396235145;0.245614035087719
"17";"grassland";1;15;1854;0.0042517295567689;0.139336876910997;0.681272994177336;0.90356175225499;18;0.166582312857143;343.657307696154;21.5109236742692;403.976618208846;6.59849417124324;1059.89442563346;15.4573426229444;4.45098039215686;1.94117647058824;3.23529411764706;2.22549019607843;2.34313725490196;2.84400452465467;0.173913043478261
"18";"grassland";1;15;1855;0.11704628678704;0.148554930576267;0.661520918144163;0.830913290314733;18;0.157838775408163;356.779666666667;9.66831899046667;96.4251252803333;9.59368659497917;3269.0673149875;14.6860266742791;4.39166666666667;1.96666666666667;3.06666666666667;2.15833333333333;2.44166666666667;2.75456033796449;0.326923076923077
"19";"grassland";1;10;1856;0.215417306236632;0.151734551892024;0.641858850117957;0.839818746358685;23;0.14530317452381;335.618333336111;13.3510804384444;264.554375233333;8.56642090287037;2952.54333798889;15.0643066729615;4.36111111111111;1.95833333333333;3.02777777777778;2.22916666666667;2.48611111111111;3.01813331169577;0.26865671641791
"20";"grassland";1;10;1860;0.117453380601341;0.135340788992216;0.631841201310691;0.830422207684332;22;0.974782936466667;337.931182803226;20.2596121989677;324.548463233226;5.42086027242308;3586.53235386375;14.5227794285;4.37671232876712;1.92465753424658;3.15753424657534;2.1986301369863;2.36986301369863;2.97320547441496;0.145161290322581
"21";"grassland";1;30;1860;0.429802594105995;0.147248403240539;0.64681838979748;0.893456911782767;23;0.169273015823529;305.13774193871;53.8855022619677;1478.30570436548;5.486830153;3673.67892143394;16.0121257824091;4.25833333333333;2.11666666666667;3.325;2.39166666666667;2.48333333333333;3.0803344974578;0.163636363636364
"22";"grassland";1;5;1860;0.0120597483880414;0.137442615072485;0.638514220840726;0.86447120398897;22;0.181127865925926;328.413148152778;36.9710338801111;867.608502011389;4.56567059219608;5031.18929558105;16.6688968063111;4.30172413793103;2.12931034482759;3.38793103448276;2.31896551724138;2.37068965517241;3.00075201855673;0.137931034482759
"23";"grassland";1;10;1863;0.0829977573739752;0.166885349925478;0.638205364224484;0.843533708760112;16;0.156230496361702;362.509139787097;11.2456000614194;99.3460505809677;10.0029206386957;5630.86261103758;15.6294526214595;4.30555555555556;2.12037037037037;3.14814814814815;2.12037037037037;2.32407407407407;2.64467783485127;0.352941176470588
"24";"grassland";1;30;1867;0.0560523551264704;0.146145067680602;0.635417297575916;0.868206491055372;18;0.16781380946;337.340392155882;19.2906891425294;359.712757122353;8.96574572985366;3330.51203052848;15.7777198814043;4.32142857142857;2.08035714285714;3.21428571428571;2.19642857142857;2.42857142857143;2.78966467179375;0.259259259259259
"25";"grassland";1;5;1870;0.000158414584512104;0.142845479611091;0.734650734817988;0.880127214576942;11;0.183890269043478;359.352941176471;16.707634074;160.483447665882;10.903625397125;859.3796348905;14.3779046903333;4.51282051282051;1.87179487179487;3.30769230769231;2.11538461538462;2.28205128205128;2.30810944631607;0.357142857142857
"26";"grassland";1;35;1867;0.0760487734314244;0.13654692324865;0.669631445558676;0.79324856343378;17;0.142499542076923;349.864222226667;13.5131204499394;265.297334739091;8.34688334478723;1014.50492430121;16.4268400570667;4.39166666666667;1.96666666666667;3.18333333333333;2.28333333333333;2.50833333333333;2.70268722470064;0.285714285714286
"27";"grassland";1;5;1864;0.528014376985341;0.142377313999739;0.618639964680967;0.873659359503615;22;0.169508150115385;323.693000003333;39.51489658425;934.669214936875;4.33368911254;2826.27982460353;16.8138475447907;4.35964912280702;1.95614035087719;3.2719298245614;2.29824561403509;2.41228070175439;3.03027552941301;0.142857142857143
"28";"grassland";1;20;1868;0.0573184171539717;0.15970990983456;0.678974295720192;0.870186310765277;20;0.143894957960784;294.150370374074;22.6895593506207;538.019979707241;6.08729852311364;8113.84321560379;16.6872063387907;4.28571428571429;1.97321428571429;3.13392857142857;2.20535714285714;2.33035714285714;2.94498015837323;0.222222222222222
